,návaznost,linka,spoj,dopravce,tč,příjezd,čeká,odjezd,zastávka,vyčká (min),typ,linka ,spoj ,dopravce ,z/doZast,nav.čas,časDoSetkání (min),typ výstupu
162,navazuje,640030,1,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,5:23,,5:23,"Jaroměř,aut.st.",,A,660060,4,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,2,Tisk na JŘ+převod do strojků USVC
168,navazuje,640030,15,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,15:23,,15:23,"Jaroměř,aut.st.",,A,660060,20,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,2,Tisk na JŘ+převod do strojků USVC
171,navazuje,640030,19,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,19:23,,19:23,"Jaroměř,aut.st.",,A,660060,26,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,2,Tisk na JŘ+převod do strojků USVC
172,navazuje,640030,101,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,7:24,,7:24,"Jaroměř,aut.st.",,A,660060,102,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
173,navazuje,640030,103,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,11:24,,11:24,"Jaroměř,aut.st.",,A,660060,106,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
174,navazuje,640030,105,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,15:24,,15:24,"Jaroměř,aut.st.",,A,660060,110,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
175,navazuje,640030,107,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",18,19:24,,19:24,"Jaroměř,aut.st.",,A,660060,114,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. - Dobruška (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
193,navazuje,640030,12,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",5,14:09,,14:09,"Nové Město n.Met.,Slza",,A,640033,57,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Dobruška (přímý vůz),,1,Tisk na JŘ+převod do strojků USVC
197,navazuje,640030,14,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",4,15:07,,15:07,"Nové Město n.Met.,žel.st.",,A,640336,9,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Přibyslavi (přímý vůz),,1,Tisk na JŘ+převod do strojků USVC
233,navazuje,640031,19,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",17,15:57,,15:57,"Slavoňov,Blažkov,rozc.",,A,640061,4,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Nové Město n.Met. (přímý vůz),15:58,0,Převod do strojků USVC
244,navazuje,640031,100,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",26,9:50,,9:50,Bystré v Orl.h.,,A,640031,8,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Nové Město n.Met. (přímý vůz),,1,Tisk na JŘ+převod do strojků USVC
251,navazuje,640040,2,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",8,5:28,,5:28,"Jaroměř,žel.st.",,A,640437,1,,Dubence přes Tanex a nemocnici,,,Tisk na JŘ+převod do strojků USVC
284,navazuje,640061,2,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",5,14:05,,14:05,"Nové Město n.Met.,nám.Republiky",,A,640025,25,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Dobrušky přes Vršovku (přímý vůz),,3,Tisk na JŘ+převod do strojků USVC
314,navazuje,640064,38,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",14,20:50,,20:50,"Česká Skalice,nám.",,A,640078,1,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Chvalkovice (přímý vůz),20:50,0,Tisk na JŘ+převod do strojků USVC
318,navazuje,640078,2,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",1,21:56,,21:56,"Česká Skalice,nám.",,A,640064,41,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,Josefov,nám. (přímý vůz)",,2,Tisk na JŘ+převod do strojků USVC
489,navazuje,640131,3,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",24,5:12,,5:12,"Nové Město n.Met.,nám.Republiky",,A,640103,7,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Dobruška,aut.st.",,0,Tisk na JŘ+převod do strojků USVC
491,navazuje,640131,5,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",24,7:12,,7:12,"Nové Město n.Met.,nám.Republiky",,A,640133,4,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Náchod,aut.st.",,0,Tisk na JŘ+převod do strojků USVC
492,navazuje,640131,9,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",15,13:54,,13:54,"Nový Hrádek,nám.",,A,640136,4,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Nové Město n.Met.,Náchodská",,1,Tisk na JŘ+převod do strojků USVC
493,navazuje,640131,13,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",15,15:24,,15:24,"Nový Hrádek,nám.",,A,640138,2,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Dobruška,aut.st.",,2,Tisk na JŘ+převod do strojků USVC
498,navazuje,640131,103,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",15,9:54,,9:54,"Nový Hrádek,nám.",,A,640136,108,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Nové Město n.Met.,žel.st.",,1,Tisk na JŘ+převod do strojků USVC
499,navazuje,640131,107,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",15,13:54,,13:54,"Nový Hrádek,nám.",,A,640136,110,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Nové Město n.Met.,žel.st.",,1,Tisk na JŘ+převod do strojků USVC
528,navazuje,640132,54,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",1,10:50,,10:50,"Náchod,aut.st.",,A,640101,54,"563/2 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Broumov",Broumova (přímý vůz),10:55,5,Tisk na JŘ+převod do strojků USVC
529,navazuje,640133,1,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",18,5:14,,5:14,"Nové Město n.Met.,žel.st.",,A,640133,1,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",Přibyslav,5:15,0,Tisk na JŘ+převod do strojků USVC
531,navazuje,640135,4,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",3,13:43,,13:43,"Nové Město n.Met.,žel.st.",,A,640131,12,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",Náchoda přes N.Hrádek,,0,Tisk na JŘ+převod do strojků USVC
532,navazuje,640136,107,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",24,12:04,,12:04,"Nový Hrádek,nám.",,A,640131,108,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Náchod,aut.st.",,1,Tisk na JŘ
535,navazuje,640136,109,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",24,16:04,,16:04,"Nový Hrádek,nám.",,A,640131,112,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Náchod,aut.st.",,1,Tisk na JŘ
537,navazuje,640136,111,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod",24,18:04,,18:04,"Nový Hrádek,nám.",,A,640131,114,"563/1 CDS s.r.o. Náchod, Kladská 286, Kladská 286, středisko Náchod","Náchod,aut.st.",,1,Tisk na JŘ
581,navazuje,640329,5,"506/6 ČSAD Ústí nad Orlicí, a.s., Třebovská 330, provozovna Náchod",27,6:12,,6:12,"Česká Skalice,nám.",,A,640377,4,,žel.st. a Náchoda přes Žernov,,,Tisk na JŘ+převod do strojků USVC
587,navazuje,640364,106,"506/6 ČSAD Ústí nad Orlicí, a.s., Třebovská 330, provozovna Náchod",14,20:50,,20:50,"Česká Skalice,nám.",,A,640378,101,,,20:50,,Tisk na JŘ
659,navazuje,640432,2,"506/1 ČSAD Ústí nad Orlicí, a.s., Třebovská 330, provozovna Rychnov nad Kněžnou",4,22:50,,22:50,"Nové Město n.Met.,Na Rychtě",,A,640325,1,"506/1 ČSAD Ústí nad Orlicí, a.s., Třebovská 330, provozovna Rychnov nad Kněžnou",Dobruška (přímý vůz),22:51,1,Tisk na JŘ+převod do strojků USVC
710,navazuje,640437,102,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",3,10:13,,10:13,"Jaroměř,žel.st.",,A,610180,103,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Hradec Králové (přímý vůz),10:25,12,Tisk na JŘ+převod do strojků USVC
711,navazuje,640437,104,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",3,14:13,,14:13,"Jaroměř,žel.st.",,A,610180,105,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Hradec Králové (přímý vůz),14:25,12,Tisk na JŘ+převod do strojků USVC
712,navazuje,640437,106,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",3,18:13,,18:13,"Jaroměř,žel.st.",,A,610180,107,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Hradec Králové (přímý vůz),18:25,12,Tisk na JŘ+převod do strojků USVC
728,navazuje,640505,6,"508/1 CAR - TOUR spol. s r.o., Pohřebačka 182, 533 45 Opatovice nad Labem, Pohřebačka 182, 533 45 Opatovice nad Labem",12,14:23,,14:23,"Jaroměř,žel.st.",,A,640504,5,"508/1 CAR - TOUR spol. s r.o., Pohřebačka 182, 533 45 Opatovice nad Labem, Pohřebačka 182, 533 45 Opatovice nad Labem",Dubence (přímý vůz),,2,Tisk na JŘ+převod do strojků USVC
767,navazuje,660059,11,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",16,7:32,,7:32,Sněžné,,A,660059,8,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Nový Hrádek,,2,Tisk na JŘ+převod do strojků USVC
847,navazuje,660060,103,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",39,8:29,,8:29,"Jaroměř,žel.st.",,A,640030,100,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,aut.st. - Nové Město nad Metují (přímý vůz)",8:30,1,Tisk na JŘ+převod do strojků USVC
851,navazuje,660060,107,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",39,12:29,,12:29,"Jaroměř,žel.st.",,A,640030,102,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,aut.st. - Nové Město nad Metují (přímý vůz)",12:30,1,Tisk na JŘ+převod do strojků USVC
855,navazuje,660060,111,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",39,16:29,,16:29,"Jaroměř,žel.st.",,A,640030,104,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,aut.st. - Nové Město nad Metují (přímý vůz)",16:30,1,Tisk na JŘ+převod do strojků USVC
858,navazuje,660060,115,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",39,20:29,,20:29,"Jaroměř,žel.st.",,A,640030,106,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,aut.st. - Nové Město nad Metují (přímý vůz)",20:30,1,Tisk na JŘ+převod do strojků USVC
904,navazuje,660062,105,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",22,12:13,,12:13,"Dobruška,aut.st.",,A,660067,105,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Hradec Králové (přímý vůz),12:23,10,Tisk na JŘ+převod do strojků USVC
906,navazuje,660062,109,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",22,16:13,,16:13,"Dobruška,aut.st.",,A,660067,109,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Hradec Králové (přímý vůz),16:23,10,Tisk na JŘ+převod do strojků USVC
908,navazuje,660062,111,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",22,18:13,,18:13,"Dobruška,aut.st.",,A,660067,111,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Hradec Králové (přímý vůz),18:23,10,Tisk na JŘ+převod do strojků USVC
911,navazuje,660062,113,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",22,14:13,,14:13,"Dobruška,aut.st.",,A,660067,113,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Hradec Králové (přímý vůz),14:23,10,Tisk na JŘ+převod do strojků USVC
980,navazuje,660067,100,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",1,7:37,,7:37,"Dobruška,aut.st.",,A,660062,100,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Deštné v Orl.horách (přímý vůz),7:46,10,Tisk na JŘ+převod do strojků USVC
982,navazuje,660067,102,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",1,15:37,,15:37,"Dobruška,aut.st.",,A,660062,102,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Deštné v Orl.horách (přímý vůz),15:46,10,Tisk na JŘ+převod do strojků USVC
984,navazuje,660067,108,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",1,19:37,,19:37,"Dobruška,aut.st.",,A,660062,110,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Deštné v Orl.horách (přímý vůz),19:46,10,Tisk na JŘ+převod do strojků USVC
986,navazuje,660067,114,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",1,9:37,,9:37,"Dobruška,aut.st.",,A,660062,104,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Deštné v Orl.horách (přímý vůz),9:46,10,Tisk na JŘ+převod do strojků USVC
1022,navazuje,660201,19,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",36,15:27,,15:27,"Rokytnice v Orl.h.,Neb.Rybná,konečná",,A,660212,15,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,0,Tisk na JŘ+převod do strojků USVC
1028,navazuje,660201,109,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",30,15:45,,15:45,"Rokytnice v Orl.h.,žel.st.",,A,660205,151,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Říčky-Bartošovice-Neratov (přímý vůz),,2,Tisk na JŘ+převod do strojků USVC
1030,navazuje,660202,20,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",8,20:57,,20:57,"Doudleby n.Orl.,žel.st.",,A,660204,44,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rychnov nad Kněžnou,21:00,3,Převod do strojků USVC
1032,navazuje,660203,52,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",5,15:33,,15:33,"Bartošovice v Orl.h.,Obecní úřad",,A,660205,3,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Orlické Záhoří,u kostela (přímý vůz)",,2,Tisk na JŘ+převod do strojků USVC
1039,navazuje,660205,41,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",40,7:40,,7:40,"Deštné v Orl.h.,Národní dům",,A,660229,51,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rychnova nad Kněžnou,,21,Tisk na JŘ+převod do strojků USVC
1040,navazuje,660205,51,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",40,13:44,,13:44,"Deštné v Orl.h.,Národní dům",,A,660229,47,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Častolovice,žel.st.",,11,Tisk na JŘ+převod do strojků USVC
1043,navazuje,660205,8,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",20,6:57,,6:57,"Bartošovice v Orl.h.,Obecní úřad",,A,660203,5,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Žamberk,divadlo",,3,Tisk na JŘ+převod do strojků USVC
1045,navazuje,660205,150,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",1,17:12,,17:12,"Rokytnice v Orl.h.,žel.st.",,A,660201,104,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rychnova nad Kněžnou (přímý vůz),,3,Tisk na JŘ+převod do strojků USVC
1061,navazuje,660207,4,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",1,6:53,,6:53,"Borovnice,Přestavlky",,A,660209,6,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Kostelec n.Orl. (přímý vůz),6:54,1,Tisk na JŘ+převod do strojků USVC
1063,navazuje,660209,3,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",13,6:56,,6:56,"Borovnice,Přestavlky",,A,660207,3,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rychnov nsd Kněžnou (přímý vůz),7:01,2,Tisk na JŘ+převod do strojků USVC
1073,navazuje,660212,6,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",1,11:51,,11:51,"Zdobnice,hotel",,A,660212,7,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rychnov nad Kněžnou,11:55,4,Převod do strojků USVC
1078,navazuje,660213,1,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",31,4:47,,4:47,"Zdobnice,Kačerov,odb.Prorubky",,A,660213,2,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
1079,navazuje,660213,7,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",31,9:11,,9:11,"Zdobnice,Kačerov,odb.Prorubky",,A,660213,8,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Převod do strojků USVC
1081,navazuje,660213,9,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",31,13:37,,13:37,"Zdobnice,Kačerov,odb.Prorubky",,A,660213,10,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Převod do strojků USVC
1083,navazuje,660213,11,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",31,15:43,,15:43,"Zdobnice,Kačerov,odb.Prorubky",,A,660213,12,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Převod do strojků USVC
1085,navazuje,660213,13,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",31,17:32,,17:32,"Zdobnice,Kačerov,odb.Prorubky",,A,660213,14,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Převod do strojků USVC
1088,navazuje,660213,20,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",3,20:57,,20:57,"Rychnov n.Kněž.,žel.st.",,A,660240,37,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Kvasin,,5,Tisk na JŘ+převod do strojků USVC
1089,navazuje,660215,1,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",27,8:23,,8:23,"Libel,obec",,A,660215,10,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Černíkovic - Rychnova n.Kněž. (přímý vůz),,1,Tisk na JŘ+převod do strojků USVC
1091,navazuje,660215,17,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",27,14:50,,14:50,"Libel,obec",,A,660215,16,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
1093,navazuje,660215,25,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",27,19:31,,19:31,"Libel,obec",,A,660215,4,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,1,Tisk na JŘ+převod do strojků USVC
1106,navazuje,660217,1,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",17,22:52,,22:52,"Vamberk,nám.",,A,660202,3,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rokytnice v Orlických horách (přímý vůz),22:55,3,Tisk na JŘ+převod do strojků USVC
1113,navazuje,660218,10,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",5,14:45,,14:45,"Častolovice,žel.st.",,A,660229,10,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Rychnova nad Kněžnou,,3,Tisk na JŘ+převod do strojků USVC
1123,navazuje,660226,16,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",2,16:39,,16:39,"Rychnov n.Kněž.,střed",,A,660229,53,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Častolovice,16:43,4,Tisk na JŘ+převod do strojků USVC
1124,navazuje,660227,39,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",16,14:13,,14:13,"Skuhrov n.Bělou,Brocná",,A,660227,46,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Solnice,,nám. (přímývůz)",14:11,0,Tisk na JŘ+převod do strojků USVC
1134,navazuje,660228,29,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",14,20:59,,20:59,"Voděrady,křiž.",,A,660237,13,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Rychnov n.Kněž.,aut.nádr. (přímý vůz)",,2,Tisk na JŘ+převod do strojků USVC
1137,navazuje,660228,8,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",26,7:08,,7:08,Třebešov,,A,660125,8,,"Rychnov n.Kněž.,aut.nádr. (přímý vůz)",7:09,,Tisk na JŘ+převod do strojků USVC
1142,navazuje,660229,9,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",50,14:13,,14:13,"Častolovice,žel.st.",,A,660218,10,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Častolovic přes Olešnici,,9,Tisk na JŘ+převod do strojků USVC
1146,navazuje,660229,21,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",50,10:13,,10:13,"Častolovice,žel.st.",,A,660218,5,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Olešnice,,9,Tisk na JŘ+převod do strojků USVC
1160,navazuje,660229,22,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",4,6:36,,6:36,"Deštné v Orl.h.,Národní dům",,A,660205,40,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Orlického Záhoří,,7,Tisk na JŘ+převod do strojků USVC
1176,navazuje,660234,30,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",1,4:44,,4:44,"Týniště n.Orl.,žel.st.",,A,660237,1,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.","Kvasiny,,Škoda Auto (přímý vůz)",4:45,1,Tisk na JŘ+převod do strojků USVC
1206,navazuje,660237,2,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",1,5:21,,5:21,"Týniště n.Orl.,žel.st.",,A,660234,3,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Borohrádku,,2,Tisk na JŘ+převod do strojků USVC
1218,navazuje,660238,31,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",13,13:54,,13:54,Trnov,,A,660238,30,"557/1 AUDIS BUS s.r.o., Soukenická 242, Rychnov n. Kn.",Dobruška,,1,Převod do strojků USVC
1253,navazuje,660507,100,"506/2 ČSAD Ústí nad Orlicí, a.s., Třebovská 330, provozovna Ústí nad Orlicí",1,14:55,,14:55,"Rokytnice v Orl.h.,žel.st.",,A,700902,104,,Žamberk - Ústí nad Orlicí (přímý vůz),15:00,,Tisk na JŘ+převod do strojků USVC
