,návaznost,linka,spoj,dopravce,tč,příjezd,čeká,odjezd,zastávka,vyčká (min),typ,linka ,spoj ,dopravce ,z/doZast,nav.čas,časDoSetkání (min),typ výstupu
266,navazuje,630025,7,"501/80 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Svoboda nad Úpou",13,13:40,,13:40,"Pecka,nám.",,A,690540,21,"501/80 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Svoboda nad Úpou",Nová Paka (přímý vůz),13:44,4,Tisk na JŘ+převod do strojků USVC
291,navazuje,630049,5,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",21,6:56,,6:56,Zdobín,,A,630049,8,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",Jičín (přímý vůz),6:57,1,Převod do strojků USVC
297,navazuje,630049,6,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",1,6:49,,6:49,"Lázně Bělohrad,nám.",,A,630076,12,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",Jičín (přímý vůz),7:00,11,Tisk na JŘ+převod do strojků USVC
300,navazuje,630049,100,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",1,6:30,,6:30,"Lázně Bělohrad,nám.",,A,630076,100,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",Jičín (přímý vůz),6:35,5,Tisk na JŘ+převod do strojků USVC
301,navazuje,630049,102,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",1,10:40,,10:40,"Lázně Bělohrad,nám.",,A,630076,102,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",Jičín (přímý vůz),10:50,10,Tisk na JŘ+převod do strojků USVC
302,navazuje,630050,5,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",22,13:25,,13:25,"Sovětice,váha",,A,630050,8,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice","Hořice,,aut.st. (přímý vůz)",13:25,0,Tisk na JŘ+převod do strojků USVC
303,navazuje,630050,7,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",22,15:40,,15:40,"Sovětice,váha",,A,630050,10,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice","Hořice,,aut.st. (přímý vůz)",15:43,3,Tisk na JŘ+převod do strojků USVC
3,navazuje,630050,13,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",18,16:51,,16:51,"Cerekvice n.Bystř.,na návsi",,A,630050,14,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice","Hořice,,aut.st. (přímý vůz)",16:53,2,Tisk na JŘ+převod do strojků USVC
314,navazuje,630063,5,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",22,6:53,,6:53,"Rokytňany,Dolní Rokytňany",,A,630063,8,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Libáň,,aut.st. (přímý vůz)",6:55,2,Tisk na JŘ+převod do strojků USVC
364,navazuje,630078,7,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",34,6:27,,6:27,Volanice,,A,630078,10,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",6:30,3,Tisk na JŘ+převod do strojků USVC
365,navazuje,630078,17,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",32,15:20,,15:20,"Vysoké Veselí,nám.",,A,630078,20,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Vysoké Veselí,,nám. (přímý vůz)",15:20,0,Převod do strojků USVC
366,navazuje,630078,55,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",32,6:19,,6:19,"Vysoké Veselí,nám.",,A,630078,88,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",6:23,4,Převod do strojků USVC
369,navazuje,630078,20,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",25,15:34,,15:34,"Vysoké Veselí,nám.",,A,630078,19,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",Volanice (přímý vůz),15:34,0,Převod do strojků USVC
370,navazuje,630079,1,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",24,6:22,,6:22,Markvartice,,A,630079,10,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",6:29,7,Tisk na JŘ+převod do strojků USVC
371,navazuje,630079,17,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",24,13:45,,13:45,Markvartice,,A,630079,22,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",13:45,0,Tisk na JŘ+převod do strojků USVC
372,navazuje,630079,19,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",20,15:06,,15:06,"Markvartice,Příchvoj",,A,630079,24,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",15:10,4,Tisk na JŘ+převod do strojků USVC
374,navazuje,630079,20,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",27,12:40,,12:40,"Zelenecká Lhota,křiž.",,A,630079,15,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Libáň,,nám. (přímý vůz)",12:40,0,Tisk na JŘ+převod do strojků USVC
375,navazuje,630079,32,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",27,7:28,,7:28,"Zelenecká Lhota,křiž.",,A,630079,31,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Libáň,,nám. (přímý vůz)",7:28,0,Tisk na JŘ+převod do strojků USVC
377,navazuje,630083,15,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",17,14:08,,14:08,"Kopidlno,nám.",,A,630083,18,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",14:10,2,Tisk na JŘ+převod do strojků USVC
396,navazuje,630093,7,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",24,14:00,,14:00,"Újezd p.Tr.,Hrdoňovice,záv.",,A,630093,10,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",14:10,10,Tisk na JŘ+převod do strojků USVC
397,navazuje,630095,5,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",23,7:01,,7:01,"Kyje,obec",,A,630095,8,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",7:02,1,Tisk na JŘ+převod do strojků USVC
398,navazuje,630095,7,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",10,7:09,,7:09,Dřevěnice,,A,630095,10,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Radim, Valdice a Jičín,,aut.st. (přímý vůz)",7:11,2,Tisk na JŘ+převod do strojků USVC
399,navazuje,630095,15,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",10,12:58,,12:58,Dřevěnice,,A,630095,18,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",13:01,3,Tisk na JŘ+převod do strojků USVC
400,navazuje,630095,17,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",16,14:07,,14:07,Železnice,,A,630095,20,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",14:08,1,Tisk na JŘ+převod do strojků USVC
401,navazuje,630095,19,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",23,15:27,,15:27,"Kyje,obec",,A,630095,22,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",15:28,1,Tisk na JŘ+převod do strojků USVC
402,navazuje,630095,21,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",10,15:58,,15:58,Dřevěnice,,A,630095,24,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",16:00,2,Tisk na JŘ+převod do strojků USVC
