WKT,OBJECTID,CRZ,OZNACNIK1,OZNACNIK2,CRZ_OZNACN,"TARIF_NAZE,C,250"
POINT (15.8105561475427 50.6327025848594),3895,52138,2,2,5213802,Svoboda n.Úpou-hotel PROM
POINT (15.8122514067214 50.6337539054802),3896,34406,1,1,3440601,Svoboda n.Úpou-Maršov I
POINT (15.8121059970668 50.6342730169481),3897,34406,2,2,3440602,Svoboda n.Úpou-Maršov I
POINT (15.8144078810199 50.6432911460297),3898,34407,1,1,3440701,Svoboda n.Úpou-Maršov II
POINT (15.8140303074579 50.6423006047626),3899,34407,2,2,3440702,Svoboda n.Úpou-Maršov II
POINT (15.8151303094278 50.6259957215933),3900,34408,1,1,3440801,Svoboda n.Úpou-nám.
POINT (15.8150619142274 50.6258323890595),3901,34408,2,2,3440802,Svoboda n.Úpou-nám.
POINT (15.603969706902 50.7241072055894),3902,34864,2,2,3486402,Špindlerův Mlýn-aut.st.
POINT (15.603904706207 50.7242853052692),3903,34864,1,1,3486401,Špindlerův Mlýn-aut.st.
POINT (15.5786714067038 50.6876722054859),3904,34865,1,1,3486501,Špindlerův Mlýn-Bártlova lávka
POINT (15.5789139072078 50.6881050056891),3905,34865,2,2,3486502,Špindlerův Mlýn-Bártlova lávka
POINT (15.6103033068089 50.750336105382),3906,53252,1,1,5325201,Špindlerův Mlýn-Davidova bouda rozc.
POINT (15.6101394071001 50.7502672053443),3907,53252,2,2,5325202,Špindlerův Mlýn-Davidova bouda rozc.
POINT (15.608514359376 50.7426004214079),3908,53238,1,1,5323801,Špindlerův Mlýn-Dívčí lávky
POINT (15.6085274423357 50.7424299644719),3909,53238,2,2,5323802,Špindlerův Mlýn-Dívčí lávky
POINT (15.6220464267047 50.7523403487983),3910,53240,1,1,5324001,Špindlerův Mlýn-Jelení boudy rozc.
POINT (15.6221018574003 50.7524223856585),3911,53240,2,2,5324002,Špindlerův Mlýn-Jelení boudy rozc.
POINT (15.5829898750301 50.7150101069974),3912,34866,2,2,3486602,Špindlerův Mlýn-Labská
POINT (15.5834764583859 50.7151982408674),3913,34866,1,1,3486601,Špindlerův Mlýn-Labská
POINT (15.6344806945864 50.7583402008718),3914,53239,1,1,5323901,Špindlerův Mlýn-Malý Šišák
POINT (15.6343897207739 50.7582629073519),3915,53239,2,2,5323902,Špindlerův Mlýn-Malý Šišák
POINT (15.6005104232966 50.7478338195539),3916,53253,1,1,5325301,Špindlerův Mlýn-Medvědí koleno rozc.
POINT (15.6004192577731 50.747925113351),3917,53253,2,2,5325302,Špindlerův Mlýn-Medvědí koleno rozc.
POINT (15.5879883068847 50.6993053049822),3918,34867,1,1,3486701,Špindlerův Mlýn-Michlův Mlýn
POINT (15.5876617060903 50.6999364054156),3919,34867,2,2,3486702,Špindlerův Mlýn-Michlův Mlýn
POINT (15.5921452152557 50.7239421119279),3920,34868,2,2,3486802,Špindlerův Mlýn-rozc.Bedřichov
POINT (15.5919564462476 50.723651885351),3921,34868,1,1,3486801,Špindlerův Mlýn-rozc.Bedřichov
POINT (15.5943214072586 50.7243706055103),3922,34868,3,3,3486803,Špindlerův Mlýn-rozc.Bedřichov
POINT (15.6343636719512 50.7625932322888),3923,53242,1,1,5324201,Špindlerův Mlýn-Špindlerovka
POINT (15.6344539637888 50.7626463643767),3924,53242,2,2,5324202,Špindlerův Mlýn-Špindlerovka
POINT (15.6084443086888 50.7361431908004),3925,53241,1,1,5324101,Špindlerův Mlýn-u hřiště
POINT (15.6083069064947 50.7360164052269),3926,53241,2,2,5324102,Špindlerův Mlýn-u hřiště
POINT (15.5888715128687 50.6812181614674),3927,34869,1,1,3486901,Špindlerův Mlýn-Volský Důl Kukačka
POINT (15.5884156441476 50.6812251920457),3928,34869,2,2,3486902,Špindlerův Mlýn-Volský Důl Kukačka
POINT (15.7154908073502 50.4098211587252),3929,36440,2,2,3644002,Trotina
POINT (15.7155862672635 50.4098858951647),3930,36440,1,1,3644001,Trotina
POINT (15.8972291935574 50.563065897711),3931,52798,1,1,5279801,Trutnov-Albert Hypermarket
POINT (15.8973520742791 50.5632536148608),3932,52798,2,2,5279802,Trutnov-Albert Hypermarket
POINT (15.9084897064394 50.5645028048884),3933,36539,1,1,3653901,Trutnov-aut.nádr.
POINT (15.9082450065744 50.5646147046478),3934,36539,2,2,3653902,Trutnov-aut.nádr.
POINT (15.908024206688 50.5647075051333),3935,36539,3,3,3653903,Trutnov-aut.nádr.
POINT (15.9084682332397 50.5646520752168),3936,36539,4,4,3653904,Trutnov-aut.nádr.
POINT (15.908189707397 50.5647758049506),3937,36539,5,5,3653905,Trutnov-aut.nádr.
POINT (15.9079356076901 50.5648744051955),3938,36539,6,6,3653906,Trutnov-aut.nádr.
POINT (15.908546107759 50.5647631048611),3939,36539,7,7,3653907,Trutnov-aut.nádr.
POINT (15.9082761076996 50.5648686052401),3940,36539,8,8,3653908,Trutnov-aut.nádr.
POINT (15.9080364075842 50.5649694050147),3941,36539,9,9,3653909,Trutnov-aut.nádr.
POINT (15.9089444065613 50.5644711054067),3942,36539,10,10,3653910,Trutnov-aut.nádr.
POINT (15.9099044064414 50.5480461048741),3943,36540,1,1,3654001,Trutnov-Bojiště
POINT (15.9107417780051 50.5476286437593),3944,36540,2,2,3654002,Trutnov-Bojiště
POINT (15.923237506591 50.5652017051216),3945,36543,1,1,3654301,Trutnov-čerp.st.
POINT (15.9239272078145 50.5656325047139),3946,36543,2,2,3654302,Trutnov-čerp.st.
POINT (15.9017478074529 50.5624831052368),3947,54622,1,1,5462201,Trutnov-Čs.armády
POINT (15.9018442070403 50.562631904882),3948,54622,2,2,5462202,Trutnov-Čs.armády
POINT (15.8983987901778 50.5719725792898),3949,36544,1,1,3654401,Trutnov-Dol.Staré Město Horská
POINT (15.8983759794801 50.57203904374),3950,36544,2,2,3654402,Trutnov-Dol.Staré Město Horská
POINT (15.895995744122 50.5757446818419),3951,36545,1,1,3654501,Trutnov-Dol.Staré Město Pramen
POINT (15.8961515808804 50.5752415280126),3952,36545,2,2,3654502,Trutnov-Dol.Staré Město Pramen
POINT (15.8998667162056 50.5595688751307),3953,36546,1,1,3654601,Trutnov-Družba
