kód,název,typ objektu,poč. vyhl.,poč. souč.,okres,dat. vyhl.,dat. zruš.,orgány ochrany přírody
101233,Špindlerovská jedle,Jednotlivý strom,1,1,Trutnov,18.02.2005,,Správa KRNAP
101234,Třešeň v Horním Lánově,Jednotlivý strom,1,1,Trutnov,09.12.2004,,Správa KRNAP
101235,Vrba v Černém Dole,Jednotlivý strom,1,1,Trutnov,05.01.2005,,Správa KRNAP
101236,Lípa srdčitá č. 2,Jednotlivý strom,1,1,Trutnov,15.05.2004,,MÚ Trutnov
101237,Lípa srdčitá č. 1,Jednotlivý strom,1,1,Trutnov,15.05.2004,,MÚ Trutnov
101238,Dub letní,Jednotlivý strom,1,1,Trutnov,11.05.2004,,MÚ Trutnov
101239,Smrk ztepilý,Jednotlivý strom,1,1,Trutnov,08.05.2004,,Správa KRNAP
101240,"Lípa u ""dřevěnky"" v Dolním Lánově",Jednotlivý strom,1,1,Trutnov,18.02.2004,,MÚ Vrchlabí
101241,Duby v Čisté v Krkonoších,Skupina stromů,2,2,Trutnov,15.01.2004,,Správa KRNAP
101242,Jasan ve Volském Dole,Jednotlivý strom,1,1,Trutnov,20.12.1979,,Správa KRNAP
101243,Lípa u Poštovní cesty v Horním Lánově,Jednotlivý strom,1,1,Trutnov,06.11.2003,,Správa KRNAP
101244,Jedlovec kanadský,Jednotlivý strom,1,1,Trutnov,24.12.2003,,MÚ Trutnov
101245,Magnolia v Žacléři,Jednotlivý strom,1,1,Trutnov,08.11.2003,,MÚ Žacléř
101247,Lípa srdčitá (Tilia cordata),Jednotlivý strom,1,1,Trutnov,20.12.1996,,MÚ Dvůr Králové nad Labem
101248,Lípa srdčitá (Tilia cordata),Jednotlivý strom,1,1,Trutnov,27.12.1996,,MÚ Dvůr Králové nad Labem
101250,Dub letní - Quercus robur 4ks,Skupina stromů,4,3,Trutnov,12.09.2002,,MÚ Dvůr Králové nad Labem
101251,Lípa velkolistá - Tilia platyphyllos 2 ks,Skupina stromů,2,2,Trutnov,18.09.2002,,MÚ Dvůr Králové nad Labem
101252,Lípa srdčitá - Tilia cordata,Jednotlivý strom,1,1,Trutnov,19.09.2002,,MÚ Dvůr Králové nad Labem
101254,Dub letní - Quercus robur,Jednotlivý strom,1,1,Trutnov,13.09.2002,,MÚ Dvůr Králové nad Labem
101255,Dub - Quercus Robur,Jednotlivý strom,1,1,Trutnov,04.05.2002,,MÚ Dvůr Králové nad Labem
101256,Lípa srdčitá (Tilia cordata) 3 ks,Skupina stromů,3,3,Trutnov,07.02.2002,,MÚ Dvůr Králové nad Labem
101257,Lípa v Havlovicích,Jednotlivý strom,1,1,Trutnov,14.02.2002,,MÚ Úpice
101258,Lípa srdčitá (Tilia cordata),Jednotlivý strom,1,1,Trutnov,29.06.1999,,MÚ Dvůr Králové nad Labem
101259,Dub zimní (Quercus Petraea),Jednotlivý strom,1,1,Trutnov,18.06.1999,,MÚ Dvůr Králové nad Labem
101260,Třešeň ptačí,Jednotlivý strom,1,1,Trutnov,14.07.2000,,MÚ Trutnov
101261,Buk Na Veselce (park),Jednotlivý strom,1,1,Trutnov,05.02.1999,,MÚ Úpice
101262,Buk Na Veselce,Jednotlivý strom,1,1,Trutnov,05.02.1999,,MÚ Úpice
101263,Buky v Úpici,Skupina stromů,2,2,Trutnov,28.04.1998,,MÚ Úpice
101264,Buk u Maršova,Jednotlivý strom,1,1,Trutnov,24.03.1998,,MÚ Úpice
101265,Jasan v Úpici,Jednotlivý strom,1,1,Trutnov,26.08.1997,,MÚ Úpice
101266,Lípa ve Rtyni v Podkrkonoší,Jednotlivý strom,1,1,Trutnov,30.10.1997,,MÚ Úpice
101267,Rtyňská lípa,Jednotlivý strom,1,1,Trutnov,04.03.1998,,MÚ Úpice
101269,Lípa ve Velkých Svatoňovicích,Jednotlivý strom,1,1,Trutnov,29.09.1997,,MÚ Úpice
101270,Lípa u kostela,Jednotlivý strom,1,0,Trutnov,01.12.1993,,MÚ Žacléř
101271,Lípa U fary,Jednotlivý strom,1,1,Trutnov,06.08.1996,,MÚ Trutnov
101272,Lípa na Babí,Jednotlivý strom,1,1,Trutnov,07.08.1995,,Správa KRNAP
101273,Lípa v Poříčí,Jednotlivý strom,1,1,Trutnov,23.05.1994,,MÚ Trutnov
101274,Lípa u trafostanice,Jednotlivý strom,1,1,Trutnov,23.05.1994,,MÚ Trutnov
101275,Lípa velkolistá ve Stříteži,Jednotlivý strom,1,1,Trutnov,25.05.1994,,MÚ Trutnov
101276,Lípa velkolistá,Jednotlivý strom,1,1,Trutnov,23.05.1994,,MÚ Trutnov
101277,Lípa srdčitá před kostelem,Jednotlivý strom,1,1,Trutnov,23.05.1994,,MÚ Trutnov
101279,Lípa srdčitá u statku,Jednotlivý strom,1,1,Trutnov,20.06.1994,,MÚ Trutnov
101280,Lípa srdčitá (Tilia cordata),Jednotlivý strom,1,1,Trutnov,15.08.1994,,MÚ Dvůr Králové nad Labem
101391,Buk lesní /Fagus sylvatica/,Jednotlivý strom,1,1,Rychnov nad Kněžnou,03.02.2004,,MÚ Vamberk
101392,Hraniční buk Potštejn,Jednotlivý strom,1,1,Rychnov nad Kněžnou,27.03.2004,,MÚ Vamberk
101393,Stromořadí dvanácti kusů lip srdčitých /Tilia cordata/,Stromořadí,12,12,Rychnov nad Kněžnou,08.12.1997,,MÚ Rychnov nad Kněžnou
101394,Lípy srdčité /Tillia cordata Miller/,Skupina stromů,2,2,Rychnov nad Kněžnou,29.12.1997,,MÚ Rychnov nad Kněžnou
101395,Lípy u kapličky v Brné,Skupina stromů,2,2,Rychnov nad Kněžnou,24.06.2000,,MÚ Vamberk
101396,Buk lesní u hřbitova a kostela sv. Marka v Potštejně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,02.03.2002,,MÚ Vamberk
101397,Lípy na hřbitově v Potštejně,Skupina stromů,20,20,Rychnov nad Kněžnou,02.05.2000,,MÚ Vamberk
101399,Stromy u sv. Vavřince,Skupina stromů,16,12,Rychnov nad Kněžnou,10.04.2000,,MÚ Vamberk
101400,Dub u zámku,Jednotlivý strom,1,1,Rychnov nad Kněžnou,13.01.1999,,MÚ Vamberk
101401,Lipová alej v Potštejně,Stromořadí,147,126,Rychnov nad Kněžnou,06.05.1999,,MÚ Vamberk
101402,Jarešův klen v Rybné nad Zdobnicí,Jednotlivý strom,1,1,Rychnov nad Kněžnou,11.01.2000,,MÚ Vamberk
101403,Lípa ve Dvorku,Jednotlivý strom,1,1,Rychnov nad Kněžnou,25.03.2000,,MÚ Vamberk
101404,Stromy v Rybné nad Zdobnicí,Skupina stromů,4,4,Rychnov nad Kněžnou,27.12.1999,,MÚ Vamberk
101405,Modříny u sochy sv. Františka Xaverského v Neratově,Skupina stromů,3,3,Rychnov nad Kněžnou,19.10.2002,,AOPK ČR - RP Východní Čechy
101406,Skupina stromů na Šafářce,Skupina stromů,4,4,Rychnov nad Kněžnou,27.10.2001,,AOPK ČR - RP Východní Čechy
101407,Jilm a lípa na Tisovci,Skupina stromů,2,2,Rychnov nad Kněžnou,14.10.2002,,AOPK ČR - RP Východní Čechy
101408,Neratovský javor klen,Jednotlivý strom,1,1,Rychnov nad Kněžnou,16.09.2001,,AOPK ČR - RP Východní Čechy
101409,Deštenský dub,Jednotlivý strom,1,1,Rychnov nad Kněžnou,03.11.2000,,AOPK ČR - RP Východní Čechy
101410,Jilm horský v Koutu,Jednotlivý strom,1,1,Rychnov nad Kněžnou,30.09.2001,,AOPK ČR - RP Východní Čechy
101411,Lípa ve vstupním prostoru hřbitova v Opočně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101412,Dub v urnovém háji v Opočně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101413,Lípa Svobody na Kupkově náměstí v Opočně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101414,Lípa před kapucínským klášterem v Opočně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101415,Dub u kostela Panny Marie v Opočně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101416,Červenolistý buk u kostela Panny Marie v Opočně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101417,Soustromí lip na Trčkově náměstí v Opočně,Skupina stromů,9,8,Rychnov nad Kněžnou,22.10.1999,,MÚ Opočno
101418,Lípa u Nebeské Rybné,Jednotlivý strom,1,1,Rychnov nad Kněžnou,17.10.1996,,AOPK ČR - RP Východní Čechy
101419,Jasan v Souvlastní,Jednotlivý strom,1,1,Rychnov nad Kněžnou,17.10.1996,,AOPK ČR - RP Východní Čechy
101420,Pěčínský jasan,Jednotlivý strom,1,1,Rychnov nad Kněžnou,23.10.1997,,AOPK ČR - RP Východní Čechy
101422,Dub u dvora Karolín,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101423,Kaštanovník jedlý,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101424,Alej od státního statku Rokytnice v Orl. horách k Novému dvoru,Stromořadí,146,146,Rychnov nad Kněžnou,04.09.1995,,AOPK ČR - RP Východní Čechy
101425,Javor klen v Neratově,Jednotlivý strom,1,1,Rychnov nad Kněžnou,12.10.1995,,AOPK ČR - RP Východní Čechy
101426,Lípa v Bartošovicích,Jednotlivý strom,1,1,Rychnov nad Kněžnou,10.10.1995,,AOPK ČR - RP Východní Čechy
101427,Lípa v Malé Straně,Jednotlivý strom,1,1,Rychnov nad Kněžnou,10.10.1995,,AOPK ČR - RP Východní Čechy
101428,Jasan v Olešnici,Jednotlivý strom,1,1,Rychnov nad Kněžnou,03.01.1996,,AOPK ČR - RP Východní Čechy
101429,Lípa v Horní Rokytnici,Jednotlivý strom,1,1,Rychnov nad Kněžnou,05.01.1996,,AOPK ČR - RP Východní Čechy
101430,Lípa v Polomu,Jednotlivý strom,1,1,Rychnov nad Kněžnou,05.01.1996,,AOPK ČR - RP Východní Čechy
101431,Bříza v Jedlové,Jednotlivý strom,1,1,Rychnov nad Kněžnou,03.01.1996,,AOPK ČR - RP Východní Čechy
101432,Jasan v Deštném,Jednotlivý strom,1,1,Rychnov nad Kněžnou,11.08.1995,,AOPK ČR - RP Východní Čechy
101433,Javor babyka,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101434,Dub letní,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Týniště nad Orlicí
101435,Svídnická borovice,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Kostelec nad Orlicí
101436,Dub v Malé Čermné,Jednotlivý strom,1,1,Rychnov nad Kněžnou,09.04.1992,,MÚ Týniště nad Orlicí
101437,Horákův buk,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Vamberk
101443,Jilm polní,Jednotlivý strom,1,0,Rychnov nad Kněžnou,04.12.1980,,AOPK ČR - RP Východní Čechy
101444,Lípa v Bystré,Jednotlivý strom,1,1,Rychnov nad Kněžnou,09.04.1992,,MÚ Dobruška
101445,Buk u trati,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,AOPK ČR - RP Východní Čechy
101446,Lípy velkolisté,Skupina stromů,3,3,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101447,Lípa velkolistá,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101448,Lípa velkolistá,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101449,Kvasinská lípa,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Rychnov nad Kněžnou
101450,Lípa velkolistá,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Dobruška
101451,Lípa v Sedloňově,Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.1980,,AOPK ČR - RP Východní Čechy
101470,Bartoňovy jasany,Skupina stromů,5,5,Náchod,10.05.2002,,AOPK ČR - RP Východní Čechy
101471,Javor na Krkavčině,Jednotlivý strom,1,1,Náchod,03.07.2003,,MÚ Červený Kostelec
101472,Lípa na Východní,Jednotlivý strom,1,1,Náchod,02.07.2003,,MÚ Červený Kostelec
101473,Obecní lípa,Jednotlivý strom,1,1,Náchod,29.11.2002,,AOPK ČR - RP Východní Čechy
101474,Maixnerova lípa,Jednotlivý strom,1,1,Trutnov,16.09.2002,,AOPK ČR - RP Východní Čechy
101475,Štajerova lípa,Jednotlivý strom,1,1,Náchod,10.05.2002,,AOPK ČR - RP Východní Čechy
101476,Kosova lípa,Jednotlivý strom,1,1,Náchod,04.02.2002,,AOPK ČR - RP Východní Čechy
101477,Hraniční buk,Jednotlivý strom,1,1,Náchod,04.05.2001,,AOPK ČR - RP Východní Čechy
101478,Lípa u Šimočků,Jednotlivý strom,1,1,Trutnov,28.05.2001,,AOPK ČR - RP Východní Čechy
101479,Buky u Janovic,Skupina stromů,2,2,Trutnov,28.06.2001,,AOPK ČR - RP Východní Čechy
101480,Lípa na Krčmově,Jednotlivý strom,1,1,Náchod,04.05.2001,,AOPK ČR - RP Východní Čechy
101481,Jilm horský,Jednotlivý strom,1,1,Náchod,05.10.2002,,MÚ Náchod
101482,Bezděkovský dub,Jednotlivý strom,1,1,Náchod,24.10.1995,,AOPK ČR - RP Východní Čechy
101483,Bohadlova lípa,Jednotlivý strom,1,1,Náchod,12.03.1999,,AOPK ČR - RP Východní Čechy
101484,Břek u Velichovek,Jednotlivý strom,1,1,Náchod,01.02.2000,,MÚ Jaroměř
101486,Jasan ztepilý,Jednotlivý strom,1,1,Náchod,06.09.1999,,MÚ Červený Kostelec
101487,Jasan ztepilý,Jednotlivý strom,1,1,Náchod,16.12.1998,,MÚ Červený Kostelec
101488,Fagus silvatica Atropunicea (buk lesní červenolistý) a Ginkgo biloba (jinan dvoulaločný),Skupina stromů,2,2,Náchod,15.01.1998,,MÚ Jaroměř
101489,Dub letní,Jednotlivý strom,1,1,Náchod,11.02.1998,,MÚ Jaroměř
101490,Dub letní,Jednotlivý strom,1,1,Náchod,11.02.1998,,MÚ Jaroměř
101491,Lipové stromořadí v Krčíně,Stromořadí,60,52,Náchod,23.12.1997,,MÚ Nové Město nad Metují
101492,Matoušova lípa,Jednotlivý strom,1,1,Náchod,15.05.1997,,MÚ Jaroměř
101493,Husova lípa,Jednotlivý strom,1,1,Náchod,29.09.1994,,MÚ Nové Město nad Metují
101494,Vojnarova lípa,Jednotlivý strom,1,1,Náchod,23.07.1993,,MÚ Nové Město nad Metují
101495,Lípa velkolistá,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Náchod
101496,Lípa srdčitá,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Hronov
101497,Lípa velkolistá,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Náchod
101498,Dub letní Vostaš,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Česká Skalice
101499,Barešova lípa,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101500,Berkova lípa,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101501,Husitská lípa,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101502,Klášterní dub v Broumově,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101503,Vernéřovická lípa,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101504,Adršpašská lípa,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101505,Šrůtkova lípa,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101506,Hrnčířův jasan,Jednotlivý strom,1,1,Náchod,26.11.1981,,AOPK ČR - RP Východní Čechy
101507,Kavalírův dub,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Jaroměř
101510,Lípy malolisté,Skupina stromů,2,1,Náchod,26.11.1981,,MÚ Nové Město nad Metují
101511,Dub letní,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Nové Město nad Metují
101512,Tis obecný,Jednotlivý strom,1,1,Náchod,26.11.1981,,MÚ Nové Město nad Metují
