kód,název,typ objektu,poč. vyhl.,poč. souč.,okres,dat. vyhl.,dat. zruš.,orgány ochrany přírody
101664,Merklovy duby,Skupina stromů,5,5,Hradec Králové,16.08.1995,,MÚ Smiřice
101665,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101666,Dub letní (Václava Vojtěcha),Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Nový Bydžov
101668,Lípa srdčitá,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Třebechovice pod Orebem
101669,Lípa srdčitá,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Smiřice
101670,Skupina lip srdčitých - 2 ks,Skupina stromů,2,2,Hradec Králové,23.08.1983,,MÚ Smiřice
101671,Klamošská lípa,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Chlumec nad Cidlinou
101672,Lípa srdčitá,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101673,Jasan ztepilý,Jednotlivý strom,1,1,Hradec Králové,15.10.1998,,MÚ Nový Bydžov
101674,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Chlumec nad Cidlinou
101675,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Chlumec nad Cidlinou
101676,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Chlumec nad Cidlinou
101677,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101678,2 lípy srdčité,Skupina stromů,2,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101679,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101680,Dub u Radíkovic,Jednotlivý strom,1,1,Hradec Králové,21.05.1998,,Magistrát města Hradec Králové
101682,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Nechanice
101683,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Nechanice
101686,Dohalický dub,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101687,Lípa srdčitá (2 ks),Skupina stromů,2,2,Hradec Králové,23.08.1983,,MÚ Nechanice
101688,Lípa srdčitá,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Smiřice
101689,Buk lesní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101690,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Smiřice
101691,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Smiřice
