OBOR,OBOR_NAZEV,DELKA VZDELAVANI,DRUH VZDELAVANI,FORMA VZDELAVANI,1. ROCNIK,2. ROCNIK,3. ROCNIK,4. ROCNIK,5. ROCNIK,6. ROCNIK,7. ROCNIK,8. ROCNIK,ZACI_CELKEM
  4146M01 ,Lesnictví,40,41,10,50,44,31,31,0,0,0,0,156
  4151E01 ,Zemědělské práce,30,21,10,5,16,16,0,0,0,0,0,37
  4151H01 ,Zemědělec - farmář,30,21,10,32,24,24,0,0,0,0,0,80
  4152E01 ,Zahradnické práce,30,21,10,17,4,10,0,0,0,0,0,31
  4152H01 ,Zahradník,30,21,10,41,27,29,0,0,0,0,0,97
  4154H01 ,Podkovář a zemědělský kovář,30,21,10,7,9,5,0,0,0,0,0,21
  4155E01 ,Opravářské práce,30,21,10,12,0,0,0,0,0,0,0,12
  4155H01 ,Opravář zemědělských strojů,30,21,10,72,67,68,0,0,0,0,0,207
  4156H01 ,Lesní mechanizátor,30,21,10,25,25,40,0,0,0,0,0,90
  4341M01 ,Veterinářství,40,41,10,120,87,85,85,0,0,0,0,377
  5341H01 ,Ošetřovatel,30,21,10,21,4,9,0,0,0,0,0,34
  5341M01 ,Zdravotnický asistent,40,41,10,0,0,139,97,0,0,0,0,236
  5341M03 ,Praktická sestra,40,41,10,120,114,0,0,0,0,0,0,234
  5343M01 ,Laboratorní asistent,40,41,10,30,0,29,0,0,0,0,0,59
  5344M03 ,Asistent zubního technika,40,41,10,0,29,0,32,0,0,0,0,61
  6341M01 ,Ekonomika a podnikání,40,41,10,32,51,40,37,0,0,0,0,160
  6341M02 ,Obchodní akademie,40,41,10,247,223,261,256,0,0,0,0,987
  6441L51 ,Podnikání,20,43,10,27,29,0,0,0,0,0,0,56
  6541L01 ,Gastronomie,40,41,10,0,0,13,13,0,0,0,0,26
  6542M01 ,Hotelnictví,40,41,10,60,49,71,68,0,0,0,0,248
  6542M02 ,Cestovní ruch,40,41,10,26,28,22,21,0,0,0,0,97
  6551E01 ,Stravovací a ubytovací služby,30,21,10,71,58,35,0,0,0,0,0,164
  6551H01 ,Kuchař - číšník,30,21,10,156,134,150,0,0,0,0,0,440
  6641L01 ,Obchodník,40,41,10,0,0,6,5,0,0,0,0,11
