RK,576115,Bohdašín,214,"47,4",-13%,441,5,208,3%,277,4,"2,4",278,4,22,103,369,5,10 938 Kč,13 970 Kč,2 989 482 Kč,354,4,6,"0,02803738318",255,3,"4,266666667",432,5,344,"4,29",VELMI SLABÉ,,,
NA,573892,Bohuslavice,1 016,"41,9",0%,210,3,888,14%,173,2,"2,3",274,4,117,115,297,4,12 718 Kč,14 911 Kč,15 150 066 Kč,266,3,36,"0,03543307087",189,3,"1,566666667",81,1,213,"2,86",PRŮMĚRNÉ,,,
RK,576123,Bolehošť,558,"42,3",-1%,238,3,565,-1%,321,4,"1,7",176,2,77,138,165,2,12 610 Kč,14 861 Kč,8 292 485 Kč,272,4,22,"0,0394265233",162,2,"2,133333333",175,2,216,"2,71",PRŮMĚRNÉ,,,
JC,548979,Borek,101,"38,6",8%,17,1,97,4%,267,3,"4,3",415,5,14,139,159,2,14 653 Kč,18 269 Kč,1 845 212 Kč,51,1,2,"0,0198019802",340,4,"4,333333333",433,5,240,"3,00",SLABÉ,,,
RK,576131,Borohrádek,2 079,"44,2",-5%,372,5,2193,-5%,361,5,"1,3",119,2,202,97,393,5,13 278 Kč,16 303 Kč,33 894 094 Kč,136,2,34,"0,01635401635",371,5,"1,266666667",41,1,256,"3,57",SLABÉ,,,
NA,573906,Borová,205,"46,1",-10%,426,5,226,-9%,401,5,"3,5",384,5,40,195,19,1,11 858 Kč,13 040 Kč,2 673 247 Kč,420,5,8,"0,03902439024",165,2,"3,266666667",326,4,306,"3,86",VELMI SLABÉ,,,
RK,576140,Borovnice (RK),396,"41,1",2%,145,2,415,-5%,354,4,"0,8",59,1,44,111,327,4,12 345 Kč,14 028 Kč,5 555 115 Kč,349,4,24,"0,06060606061",73,1,"3,2",314,4,232,"2,86",PRŮMĚRNÉ,,,
TU,579092,Borovnice (TU),370,"44,3",-5%,380,5,439,-16%,426,5,"3,8",393,5,48,130,214,3,13 300 Kč,14 711 Kč,5 442 990 Kč,294,4,1,"0,002702702703",441,5,"2,066666667",157,2,329,"4,14",VELMI SLABÉ,,,
TU,548821,Borovnička,188,"44,4",-6%,385,5,224,-16%,429,5,"7,8",446,5,27,144,131,2,11 873 Kč,15 208 Kč,2 859 113 Kč,229,3,4,"0,02127659574",325,4,"3,733333333",390,5,334,"4,14",VELMI SLABÉ,,,
NA,573914,Božanov,362,"39,8",5%,61,1,309,17%,154,2,"7,8",446,5,33,91,411,5,16 272 Kč,19 519 Kč,7 065 733 Kč,34,1,15,"0,04143646409",147,2,2,147,2,200,"2,57",SILNÉ,,,
JC,549100,Brada-Rybníček,148,"41,4",2%,167,2,56,164%,3,1,"1,7",183,3,37,250,7,1,13 158 Kč,13 204 Kč,1 954 238 Kč,408,5,15,"0,1013513514",13,1,"3,8",394,5,168,"2,57",VELMI SILNÉ,,,
NA,573922,Broumov,7 444,"42,9",-2%,285,4,8076,-8%,388,5,"7,3",443,5,708,95,398,5,14 303 Kč,16 699 Kč,124 307 472 Kč,113,2,79,"0,01061257389",408,5,"1,2",27,1,295,"3,86",VELMI SLABÉ,,,
NA,573931,Brzice,240,"44,8",-6%,399,5,207,16%,165,2,"1,5",156,2,38,158,68,1,16 511 Kč,18 878 Kč,4 530 795 Kč,41,1,9,"0,0375",175,2,"3,266666667",326,4,190,"2,43",SILNÉ,,,
JC,549070,Březina,117,"39,7",6%,54,1,52,125%,5,1,"0,0",1,1,28,239,9,1,10 788 Kč,13 009 Kč,1 521 999 Kč,421,5,10,"0,08547008547",27,1,"4,6",442,5,137,"2,14",VELMI SILNÉ,,,
JC,548855,Bříšťany,252,"44,0",-5%,364,5,241,5%,261,3,"2,6",307,4,31,123,254,3,11 850 Kč,13 911 Kč,3 505 541 Kč,365,5,7,"0,02777777778",258,3,"3,2",314,4,303,"3,86",VELMI SLABÉ,,,
JC,548952,Budčeves,159,"46,5",-11%,429,5,211,-25%,443,5,"1,1",101,2,11,69,437,5,16 670 Kč,18 235 Kč,2 899 308 Kč,55,1,1,"0,006289308176",425,5,"3,533333333",368,5,323,"4,00",VELMI SLABÉ,,,
NA,547751,Bukovice,350,"43,6",-4%,336,4,433,-19%,437,5,"0,9",69,1,51,146,122,2,12 079 Kč,15 009 Kč,5 253 057 Kč,254,3,7,"0,02",338,4,"2,333333333",203,3,251,"3,14",SLABÉ,,,
JC,573353,Bukvice,160,"41,2",2%,149,2,136,18%,147,2,"1,9",210,3,20,125,239,3,14 206 Kč,16 810 Kč,2 689 613 Kč,104,2,6,"0,0375",175,2,"4,4",437,5,209,"2,71",PRŮMĚRNÉ,,,
JC,549282,Butoves,281,"38,1",10%,8,1,73,285%,1,1,"2,6",300,4,36,128,221,3,10 443 Kč,12 503 Kč,3 513 392 Kč,437,5,22,"0,07829181495",42,1,"3,033333333",284,4,185,"2,71",SILNÉ,,,
RK,576166,Bystré,265,"43,3",-3%,313,4,231,15%,172,2,"1,9",208,3,35,132,194,3,11 396 Kč,12 825 Kč,3 398 616 Kč,427,5,12,"0,04528301887",127,2,"2,2",184,3,232,"3,14",PRŮMĚRNÉ,,,
JC,572772,Bystřice,340,"40,9",3%,132,2,318,7%,238,3,"1,3",125,2,43,126,230,3,13 824 Kč,17 257 Kč,5 867 314 Kč,79,1,13,"0,03823529412",169,2,"2,333333333",203,3,168,"2,29",VELMI SILNÉ,,,
RK,576174,Byzhradec,220,"41,9",0%,208,3,241,-9%,395,5,"0,0",1,1,29,132,199,3,10 370 Kč,13 711 Kč,3 016 337 Kč,379,5,7,"0,03181818182",219,3,"3,266666667",326,4,247,"3,43",SLABÉ,,,
JC,572781,Cerekvice nad Bystřicí,790,"40,3",4%,86,1,540,46%,30,1,"2,7",319,4,69,87,420,5,13 588 Kč,17 155 Kč,13 552 555 Kč,82,1,19,"0,02405063291",304,4,"1,166666667",22,1,180,"2,43",SILNÉ,,,
RK,576182,Častolovice,1 685,"41,6",1%,181,3,1438,17%,153,2,"0,5",43,1,182,108,348,4,11 244 Kč,15 870 Kč,26 741 408 Kč,169,2,51,"0,03026706231",238,3,"1,133333333",21,1,165,"2,29",VELMI SILNÉ,,,
TU,579106,Čermná,403,"41,7",1%,186,3,357,13%,187,3,"1,1",105,2,119,295,5,1,11 413 Kč,13 781 Kč,5 553 683 Kč,374,5,12,"0,02977667494",242,3,"2,6",223,3,189,"2,86",SILNÉ,,,
RK,576191,Čermná nad Orlicí,1 016,"43,6",-4%,339,4,955,6%,242,3,"1,1",100,2,119,117,286,4,11 626 Kč,13 886 Kč,14 107 934 Kč,367,5,17,"0,01673228346",365,5,"1,7",102,2,257,"3,57",SLABÉ,,,
NA,573957,Černčice,488,"41,7",1%,188,3,445,10%,220,3,"1,2",111,2,55,113,319,4,11 710 Kč,14 735 Kč,7 190 455 Kč,291,4,14,"0,02868852459",251,3,"2,2",184,3,223,"3,14",PRŮMĚRNÉ,,,
RK,576204,Černíkovice,783,"41,5",1%,171,2,749,5%,262,3,"0,4",40,1,98,125,238,3,12 922 Kč,15 232 Kč,11 926 286 Kč,226,3,41,"0,05236270754",101,2,"1,866666667",125,2,166,"2,29",VELMI SILNÉ,,,
HK,569917,Černilov,2 393,"40,6",4%,111,2,1902,26%,89,1,"2,2",249,3,380,159,65,1,12 494 Kč,15 217 Kč,36 414 525 Kč,227,3,79,"0,03301295445",208,3,"1,2",27,1,139,"2,00",VELMI SILNÉ,,,
HK,569925,Černožice,1 142,"44,7",-6%,395,5,1193,-4%,352,4,"2,2",246,3,150,131,205,3,12 642 Kč,15 103 Kč,17 247 646 Kč,243,3,17,"0,01488616462",383,5,"1,333333333",53,1,268,"3,43",SLABÉ,,,
TU,579114,Černý Důl,679,"43,8",-4%,350,4,778,-13%,414,5,"2,5",297,4,155,228,11,1,16 340 Kč,21 361 Kč,14 503 951 Kč,19,1,97,"0,1428571429",6,1,"1,5",75,1,167,"2,43",VELMI SILNÉ,,,
NA,505099,Červená Hora,200,"41,4",2%,166,2,186,8%,235,3,"1,6",165,2,27,135,177,2,9 661 Kč,13 632 Kč,2 726 378 Kč,384,5,5,"0,025",290,4,"2,666666667",234,3,236,"3,00",SLABÉ,,,
JC,548995,Červená Třemešná,156,"42,8",-2%,275,4,124,26%,90,2,"2,0",217,3,29,186,24,1,13 483 Kč,16 296 Kč,2 542 164 Kč,137,2,5,"0,03205128205",214,3,"3,933333333",409,5,195,"2,86",SILNÉ,,,
