Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    049290274,Střední škola,Janské Lázně,Obchodní,282,,Janské Lázně
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    181066751,Středisko volného času,Janské Lázně,Obchodní 282,,,
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    110029585,Internát,Janské Lázně,Obchodní,282,,Janské Lázně
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    108026779,Speciálně pedagogické centrum,Janské Lázně,Obchodní,282,,Janské Lázně
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    102918708,Školní jídelna,Janské Lázně,Obchodní,282,,Janské Lázně
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    110035356,Základní škola,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    062690001,Diagnostický ústav,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    110029364,Středisko výchovné péče,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    102754748,Školní jídelna,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    110013662,Základní škola,Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    181030438,Stanice zájmových činností,Malá Úpa,,21,,Dolní Malá Úpa
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    060884754,Dětský domov se školou,Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    181004798,Školní jídelna,Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    110013638,Střední škola,Hostinné,B. Smetany,474,,Hostinné
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    060153385,Výchovný ústav,Hostinné,B. Smetany,474,,Hostinné
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    181075504,Středisko výchovné péče,Hostinné,B. Smetany,474,,Hostinné
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    110013646,Školní jídelna,Hostinné,B. Smetany,474,,Hostinné
1,600029883,62048660,"Výchovný ústav Husův domov a školní jídelna, Dvůr Králové nad Labem, Vrchlického 700",Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem,    043463487,Výchovný ústav,Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem
1,600029883,62048660,"Výchovný ústav Husův domov a školní jídelna, Dvůr Králové nad Labem, Vrchlického 700",Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem,    150056001,Školní jídelna,Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem
1,600029891,60153261,"Dětský domov se školou, základní škola a školní jídelna, Vrchlabí, Al. Jiráska 617",Vrchlabí,Al. Jiráska,617,,Vrchlabí,    110013689,Základní škola,Vrchlabí,Al. Jiráska,617,,Vrchlabí
1,600029891,60153261,"Dětský domov se školou, základní škola a školní jídelna, Vrchlabí, Al. Jiráska 617",Vrchlabí,Al. Jiráska,617,,Vrchlabí,    060153261,Dětský domov se školou,Vrchlabí,Al. Jiráska,617,,Vrchlabí
1,600029891,60153261,"Dětský domov se školou, základní škola a školní jídelna, Vrchlabí, Al. Jiráska 617",Vrchlabí,Al. Jiráska,617,,Vrchlabí,    102766100,Školní jídelna,Vrchlabí,Al. Jiráska,617,,Vrchlabí
1,600029905,60153628,"Dětský domov se školou, základní škola a školní jídelna, Horní Maršov, Temný Důl 16",Horní Maršov,,16,,Dolní Albeřice,    110029593,Základní škola,Horní Maršov,,16,,Dolní Albeřice
1,600029905,60153628,"Dětský domov se školou, základní škola a školní jídelna, Horní Maršov, Temný Důl 16",Horní Maršov,,16,,Dolní Albeřice,    102501327,Dětský domov se školou,Horní Maršov,,16,,Dolní Albeřice
1,600029905,60153628,"Dětský domov se školou, základní škola a školní jídelna, Horní Maršov, Temný Důl 16",Horní Maršov,,16,,Dolní Albeřice,    102501301,Školní jídelna,Horní Maršov,,16,,Dolní Albeřice
2,600002918,62695258,"Základní umělecká škola, Chlumec nad Cidlinou",Chlumec nad Cidlinou,Klicperovo náměstí,1,,Chlumec nad Cidlinou I,    102078777,Základní umělecká škola,Chlumec nad Cidlinou,Klicperovo náměstí,1,,Chlumec nad Cidlinou I
2,600029590,62690493,"Dům dětí a mládeže, Chlumec nad Cidlinou",Chlumec nad Cidlinou,9. května,198,,Chlumec nad Cidlinou I,    062690493,Dům dětí a mládeže,Chlumec nad Cidlinou,9. května,198,,Chlumec nad Cidlinou I
2,600087719,70999848,"Mateřská škola, Chudeřice",Chudeřice,,51,,Chudeřice,    107580853,Mateřská škola,Chudeřice,,51,,Chudeřice
2,600087719,70999848,"Mateřská škola, Chudeřice",Chudeřice,,51,,Chudeřice,    102778809,Školní jídelna - výdejna,Chudeřice,,51,,Chudeřice
2,600087727,71011439,"Mateřská škola, Číbuz",Skalice,,20,,Číbuz,    107580861,Mateřská škola,Skalice,,20,,Číbuz
2,600087727,71011439,"Mateřská škola, Číbuz",Skalice,,20,,Číbuz,    102778817,Školní jídelna,Skalice,,20,,Číbuz
2,600087760,70981540,"Mateřská škola, Holohlavy",Holohlavy,Školní,124,,Holohlavy,    107580900,Mateřská škola,Holohlavy,Školní,124,,Holohlavy
2,600087760,70981540,"Mateřská škola, Holohlavy",Holohlavy,Školní,124,,Holohlavy,    102778850,Školní jídelna,Holohlavy,Školní,124,,Holohlavy
2,600087824,71000658,"Mateřská škola Lužická, Hradec Králové, Severní 842",Hradec Králové,Severní,842,22,Slezské Předměstí,    107580993,Mateřská škola,Hradec Králové,Severní,842,22,Slezské Předměstí
2,600087824,71000658,"Mateřská škola Lužická, Hradec Králové, Severní 842",Hradec Králové,Severní,842,22,Slezské Předměstí,    102778922,Školní jídelna,Hradec Králové,Severní,842,22,Slezské Předměstí
2,600087824,71000658,"Mateřská škola Lužická, Hradec Králové, Severní 842",Hradec Králové,Severní,842,22,Slezské Předměstí,    117100552,Školní jídelna - výdejna,Hradec Králové,Slavíčkova,954,8,Slezské Předměstí
2,600087948,70983372,"Mateřská škola, Jeníkovice",Jeníkovice,,25,,Jeníkovice,    107581141,Mateřská škola,Jeníkovice,,25,,Jeníkovice
2,600087948,70983372,"Mateřská škola, Jeníkovice",Jeníkovice,,25,,Jeníkovice,    108007634,Školní jídelna - výdejna,Jeníkovice,,25,,Jeníkovice
2,600088031,70189013,"Mateřská škola, Nový Bydžov, F. Palackého 1241",Nový Bydžov,F. Palackého,1241,,Nový Bydžov,    107581256,Mateřská škola,Nový Bydžov,F. Palackého,1241,,Nový Bydžov
2,600088031,70189013,"Mateřská škola, Nový Bydžov, F. Palackého 1241",Nový Bydžov,F. Palackého,1241,,Nový Bydžov,    102790159,Školní jídelna,Nový Bydžov,F. Palackého,1241,,Nový Bydžov
2,600088049,71004246,"Mateřská škola, Ohnišťany",Ohnišťany,,42,,Ohnišťany,    107581264,Mateřská škola,Ohnišťany,,42,,Ohnišťany
2,600088049,71004246,"Mateřská škola, Ohnišťany",Ohnišťany,,42,,Ohnišťany,    102966541,Školní jídelna,Ohnišťany,,42,,Ohnišťany
2,600088057,70988889,"Mateřská škola, Petrovice",Petrovice,,52,,Petrovice,    107581281,Mateřská škola,Petrovice,,52,,Petrovice
2,600088057,70988889,"Mateřská škola, Petrovice",Petrovice,,52,,Petrovice,    102790167,Školní jídelna,Petrovice,,52,,Petrovice
2,600088090,71006401,"Mateřská škola, Roudnice",Roudnice,,100,,Roudnice,    107581329,Mateřská škola,Roudnice,,100,,Roudnice
2,600088090,71006401,"Mateřská škola, Roudnice",Roudnice,,100,,Roudnice,    102790205,Školní jídelna - výdejna,Roudnice,,100,,Roudnice
2,600088138,70993505,"Mateřská škola, Sloupno",Sloupno,,69,,Sloupno,    107581361,Mateřská škola,Sloupno,,69,,Sloupno
2,600088138,70993505,"Mateřská škola, Sloupno",Sloupno,,69,,Sloupno,    102790248,Školní jídelna,Sloupno,,69,,Sloupno
2,600088154,71007601,"Mateřská škola, Starý Bydžov",Starý Bydžov,,13,,Starý Bydžov,    107581388,Mateřská škola,Starý Bydžov,,13,,Starý Bydžov
2,600088154,71007601,"Mateřská škola, Starý Bydžov",Starý Bydžov,,13,,Starý Bydžov,    102790264,Školní jídelna - výdejna,Starý Bydžov,,13,,Starý Bydžov
2,600088171,70993858,"Mateřská škola, Těchlovice",Těchlovice,,120,,Těchlovice,    107581400,Mateřská škola,Těchlovice,,120,,Těchlovice
2,600088171,70993858,"Mateřská škola, Těchlovice",Těchlovice,,120,,Těchlovice,    102790281,Školní jídelna - výdejna,Těchlovice,,120,,Těchlovice
2,600088219,71013008,"Mateřská škola, Vysoká nad Labem",Vysoká nad Labem,,22,,Vysoká nad Labem,    107581442,Mateřská škola,Vysoká nad Labem,,22,,Vysoká nad Labem
2,600088219,71013008,"Mateřská škola, Vysoká nad Labem",Vysoká nad Labem,,22,,Vysoká nad Labem,    102790329,Školní jídelna - výdejna,Vysoká nad Labem,,22,,Vysoká nad Labem
2,600088235,70995605,"Mateřská škola, Kosice",Kosice,,69,,Kosice,    107581477,Mateřská škola,Kosice,,69,,Kosice
2,600088235,70995605,"Mateřská škola, Kosice",Kosice,,69,,Kosice,    102790353,Školní jídelna - výdejna,Kosice,,69,,Kosice
2,600088251,75016575,"Mateřská škola, Neděliště",Neděliště,Josefa Košťála,70,,Neděliště,    107581493,Mateřská škola,Neděliště,Josefa Košťála,70,,Neděliště
2,600088251,75016575,"Mateřská škola, Neděliště",Neděliště,Josefa Košťála,70,,Neděliště,    102790370,Školní jídelna,Neděliště,Josefa Košťála,70,,Neděliště
2,600088286,70990859,"Mateřská škola, Stračov",Stračov,,15,,Stračov,    107581523,Mateřská škola,Stračov,,15,,Stračov
2,600088286,70990859,"Mateřská škola, Stračov",Stračov,,15,,Stračov,    102790400,Školní jídelna,Stračov,,15,,Stračov
2,600088294,75019019,"Mateřská škola, Třesovice",Třesovice,,74,,Třesovice,    107581531,Mateřská škola,Třesovice,,74,,Třesovice
2,600088294,75019019,"Mateřská škola, Třesovice",Třesovice,,74,,Třesovice,    102790418,Školní jídelna,Třesovice,,74,,Třesovice
2,600088383,71006036,"Mateřská škola, Převýšov",Převýšov,,67,,Převýšov,    107581809,Mateřská škola,Převýšov,,67,,Převýšov
2,600088383,71006036,"Mateřská škola, Převýšov",Převýšov,,67,,Převýšov,    102790671,Školní jídelna - výdejna,Převýšov,,67,,Převýšov
2,600088430,71000682,"Mateřská škola, Hradec Králové, M. Horákové 1143",Hradec Králové,Milady Horákové,1143,18,Nový Hradec Králové,    107581850,Mateřská škola,Hradec Králové,Milady Horákové,1143,18,Nový Hradec Králové
2,600088430,71000682,"Mateřská škola, Hradec Králové, M. Horákové 1143",Hradec Králové,Milady Horákové,1143,18,Nový Hradec Králové,    102790728,Školní jídelna,Hradec Králové,Milady Horákové,1143,18,Nový Hradec Králové
2,600088448,71000666,"Mateřská škola Klíček, Hradec Králové, Urxova 342",Hradec Králové,Urxova,342,6,Třebeš,    107581868,Mateřská škola,Hradec Králové,Urxova,342,6,Třebeš
2,600088448,71000666,"Mateřská škola Klíček, Hradec Králové, Urxova 342",Hradec Králové,Urxova,342,6,Třebeš,    102790736,Školní jídelna,Hradec Králové,Urxova,342,6,Třebeš
2,600088456,71000640,"Mateřská škola, Hradec Králové-Věkoše, K Sokolovně 349",Hradec Králové,K Sokolovně,349,12,Věkoše,    107581876,Mateřská škola,Hradec Králové,K Sokolovně,349,12,Věkoše
2,600088456,71000640,"Mateřská škola, Hradec Králové-Věkoše, K Sokolovně 349",Hradec Králové,K Sokolovně,349,12,Věkoše,    102790744,Školní jídelna,Hradec Králové,K Sokolovně,349,12,Věkoše
2,600088464,75007851,"Mateřská škola, Smiřice",Smiřice,Kršovka,478,,Smiřice,    107581892,Mateřská škola,Smiřice,Kršovka,478,,Smiřice
2,600088464,75007851,"Mateřská škola, Smiřice",Smiřice,Kršovka,478,,Smiřice,    102790761,Školní jídelna,Smiřice,Kršovka,478,,Smiřice
2,600088529,75015935,"Mateřská škola Sluníčko, Nový Bydžov, U Plovárny 1380",Nový Bydžov,U Plovárny,1380,,Nový Bydžov,    107581795,Mateřská škola,Nový Bydžov,U Plovárny,1380,,Nový Bydžov
2,600088529,75015935,"Mateřská škola Sluníčko, Nový Bydžov, U Plovárny 1380",Nový Bydžov,U Plovárny,1380,,Nový Bydžov,    102790663,Školní jídelna,Nový Bydžov,U Plovárny,1380,,Nový Bydžov
2,600088537,62694987,"Základní škola, Hradec Králové, Štefánikova 566",Hradec Králové,Štefánikova,566,26,Moravské Předměstí,    045980497,Základní škola,Hradec Králové,Štefánikova,566,26,Moravské Předměstí
2,600088537,62694987,"Základní škola, Hradec Králové, Štefánikova 566",Hradec Králové,Štefánikova,566,26,Moravské Předměstí,    117100234,Školní družina,Hradec Králové,Štefánikova,566,26,Moravské Předměstí
2,600088537,62694987,"Základní škola, Hradec Králové, Štefánikova 566",Hradec Králové,Štefánikova,566,26,Moravské Předměstí,    102778442,Školní jídelna,Hradec Králové,Štefánikova,566,26,Moravské Předměstí
2,600088545,62695177,"Základní škola, Hradec Králové, M. Horákové 258",Hradec Králové,Milady Horákové,258,50,Třebeš,    045980501,Základní škola,Hradec Králové,Milady Horákové,258,50,Třebeš
2,600088545,62695177,"Základní škola, Hradec Králové, M. Horákové 258",Hradec Králové,Milady Horákové,258,50,Třebeš,    117100153,Školní družina,Hradec Králové,Milady Horákové,258,50,Třebeš
2,600088545,62695177,"Základní škola, Hradec Králové, M. Horákové 258",Hradec Králové,Milady Horákové,258,50,Třebeš,    102778752,Školní jídelna,Hradec Králové,Milady Horákové,258,50,Třebeš
2,600088553,62695398,"Základní škola, Chlumec nad Cidlinou, okres Hradec Králové",Chlumec nad Cidlinou,Kozelkova,123,,Chlumec nad Cidlinou IV,    048145785,Základní škola,Chlumec nad Cidlinou,Kozelkova,123,,Chlumec nad Cidlinou IV
2,600088553,62695398,"Základní škola, Chlumec nad Cidlinou, okres Hradec Králové",Chlumec nad Cidlinou,Kozelkova,123,,Chlumec nad Cidlinou IV,    117100293,Školní družina,Chlumec nad Cidlinou,Kozelkova,123,,Chlumec nad Cidlinou IV
2,600088561,49333852,"Základní škola, Hradec Králové, Bezručova 1468",Hradec Králové,Bezručova,1468,2,Pražské Předměstí,    049333852,Základní škola,Hradec Králové,Bezručova,1468,2,Pražské Předměstí
2,600088561,49333852,"Základní škola, Hradec Králové, Bezručova 1468",Hradec Králové,Bezručova,1468,2,Pražské Předměstí,    117100099,Školní družina,Hradec Králové,Bezručova,1468,2,Pražské Předměstí
2,600088561,49333852,"Základní škola, Hradec Králové, Bezručova 1468",Hradec Králové,Bezručova,1468,2,Pražské Předměstí,    102778451,Školní jídelna,Hradec Králové,Bezručova,1468,2,Pražské Předměstí
2,600088570,62060422,"Základní škola SEVER, Hradec Králové, Lužická 1208",Hradec Králové,Lužická,1208,12,Hradec Králové,    062060422,Základní škola,Hradec Králové,Lužická,1208,12,Hradec Králové
2,600088570,62060422,"Základní škola SEVER, Hradec Králové, Lužická 1208",Hradec Králové,Lužická,1208,12,Hradec Králové,    117100145,Školní družina,Hradec Králové,Lužická,1208,12,Hradec Králové
2,600088570,62060422,"Základní škola SEVER, Hradec Králové, Lužická 1208",Hradec Králové,Lužická,1208,12,Hradec Králové,    102778558,Školní jídelna,Hradec Králové,Lužická,1208,12,Hradec Králové
2,600088588,62060449,"Základní škola a Mateřská škola, Nechanice, okres Hradec Králové",Nechanice,Pražská,2,,Nechanice,    107581221,Mateřská škola,Nechanice,Školská,191,,Nechanice
2,600088588,62060449,"Základní škola a Mateřská škola, Nechanice, okres Hradec Králové",Nechanice,Pražská,2,,Nechanice,    062060449,Základní škola,Nechanice,Pražská,2,,Nechanice
2,600088588,62060449,"Základní škola a Mateřská škola, Nechanice, okres Hradec Králové",Nechanice,Pražská,2,,Nechanice,    117100340,Školní družina,Nechanice,Školská,333,,Nechanice
2,600088588,62060449,"Základní škola a Mateřská škola, Nechanice, okres Hradec Králové",Nechanice,Pražská,2,,Nechanice,    102778655,Školní jídelna,Nechanice,Školská,333,,Nechanice
2,600088588,62060449,"Základní škola a Mateřská škola, Nechanice, okres Hradec Králové",Nechanice,Pražská,2,,Nechanice,    117100048,Školní jídelna - výdejna,Nechanice,Školská,191,,Nechanice
2,600088596,62690957,"Základní škola, Nový Bydžov, Karla IV. 209, okres Hradec Králové",Nový Bydžov,Karla IV.,209,,Nový Bydžov,    062690957,Základní škola,Nový Bydžov,Karla IV.,209,,Nový Bydžov
2,600088596,62690957,"Základní škola, Nový Bydžov, Karla IV. 209, okres Hradec Králové",Nový Bydžov,Karla IV.,209,,Nový Bydžov,    117100358,Školní družina,Nový Bydžov,Karla IV.,209,,Nový Bydžov
2,600088596,62690957,"Základní škola, Nový Bydžov, Karla IV. 209, okres Hradec Králové",Nový Bydžov,Karla IV.,209,,Nový Bydžov,    150062044,Školní klub,Nový Bydžov,Karla IV.,209,,Nový Bydžov
2,600088596,62690957,"Základní škola, Nový Bydžov, Karla IV. 209, okres Hradec Králové",Nový Bydžov,Karla IV.,209,,Nový Bydžov,    102778663,Školní jídelna,Nový Bydžov,Karla IV.,209,,Nový Bydžov
2,600088600,62690965,"Základní škola, Nový Bydžov, V. Kl. Klicpery 561, okres Hradec Králové",Nový Bydžov,V. Kl. Klicpery,561,,Nový Bydžov,    062690965,Základní škola,Nový Bydžov,V. Kl. Klicpery,561,,Nový Bydžov
2,600088600,62690965,"Základní škola, Nový Bydžov, V. Kl. Klicpery 561, okres Hradec Králové",Nový Bydžov,V. Kl. Klicpery,561,,Nový Bydžov,    117100366,Školní družina,Nový Bydžov,V. Kl. Klicpery,561,,Nový Bydžov
2,600088600,62690965,"Základní škola, Nový Bydžov, V. Kl. Klicpery 561, okres Hradec Králové",Nový Bydžov,V. Kl. Klicpery,561,,Nový Bydžov,    150072741,Školní klub,Nový Bydžov,V. Kl. Klicpery,561,,Nový Bydžov
2,600088618,62690973,"Základní škola, Třebechovice pod Orebem, okres Hradec Králové",Třebechovice pod Orebem,Na stavě,1079,,Třebechovice pod Orebem,    062690973,Základní škola,Třebechovice pod Orebem,Na stavě,1079,,Třebechovice pod Orebem
2,600088618,62690973,"Základní škola, Třebechovice pod Orebem, okres Hradec Králové",Třebechovice pod Orebem,Na stavě,1079,,Třebechovice pod Orebem,    117100382,Školní družina,Třebechovice pod Orebem,Na stavě,1079,,Třebechovice pod Orebem
2,600088618,62690973,"Základní škola, Třebechovice pod Orebem, okres Hradec Králové",Třebechovice pod Orebem,Na stavě,1079,,Třebechovice pod Orebem,    181005948,Školní jídelna,Třebechovice pod Orebem,Na stavě,1079,,Třebechovice pod Orebem
2,600088626,70886105,"Základní škola a Mateřská škola, Hradec Králové - Malšova Lhota, Lhotecká 39",Hradec Králové,Lhotecká,39,75,Malšova Lhota,    108007880,Mateřská škola,Hradec Králové,Lhotecká,39,75,Malšova Lhota
2,600088626,70886105,"Základní škola a Mateřská škola, Hradec Králové - Malšova Lhota, Lhotecká 39",Hradec Králové,Lhotecká,39,75,Malšova Lhota,    102040834,Základní škola,Hradec Králové,Lhotecká,39,75,Malšova Lhota
2,600088626,70886105,"Základní škola a Mateřská škola, Hradec Králové - Malšova Lhota, Lhotecká 39",Hradec Králové,Lhotecká,39,75,Malšova Lhota,    117100161,Školní družina,Hradec Králové,Lhotecká,39,75,Malšova Lhota
2,600088626,70886105,"Základní škola a Mateřská škola, Hradec Králové - Malšova Lhota, Lhotecká 39",Hradec Králové,Lhotecká,39,75,Malšova Lhota,    108007723,Školní jídelna - výdejna,Hradec Králové,Lhotecká,39,75,Malšova Lhota
2,600088669,71006087,"Základní škola, Dohalice, okres Hradec Králové",Dohalice,,30,,Dohalice,    102066493,Základní škola,Dohalice,,30,,Dohalice
2,600088669,71006087,"Základní škola, Dohalice, okres Hradec Králové",Dohalice,,30,,Dohalice,    117100749,Školní družina,Dohalice,,30,,Dohalice
2,600088669,71006087,"Základní škola, Dohalice, okres Hradec Králové",Dohalice,,30,,Dohalice,    117100757,Školní jídelna - výdejna,Dohalice,,30,,Dohalice
2,600088685,71000895,"Základní škola, Kosičky, okres Hradec Králové",Kosičky,,82,,Kosičky,    102066515,Základní škola,Kosičky,,82,,Kosičky
2,600088685,71000895,"Základní škola, Kosičky, okres Hradec Králové",Kosičky,,82,,Kosičky,    117100498,Školní družina,Kosičky,,82,,Kosičky
2,600088685,71000895,"Základní škola, Kosičky, okres Hradec Králové",Kosičky,,82,,Kosičky,    103378774,Školní jídelna - výdejna,Kosičky,,82,,Kosičky
2,600088693,70984981,"Základní škola a mateřská škola, Kratonohy, okres Hradec Králové, příspěvková organizace",Kratonohy,,98,,Kratonohy,    107581159,Mateřská škola,Kratonohy,,140,,Kratonohy
2,600088693,70984981,"Základní škola a mateřská škola, Kratonohy, okres Hradec Králové, příspěvková organizace",Kratonohy,,98,,Kratonohy,    102066523,Základní škola,Kratonohy,,98,,Kratonohy
2,600088693,70984981,"Základní škola a mateřská škola, Kratonohy, okres Hradec Králové, příspěvková organizace",Kratonohy,,98,,Kratonohy,    117100765,Školní družina,Kratonohy,,98,,Kratonohy
2,600088693,70984981,"Základní škola a mateřská škola, Kratonohy, okres Hradec Králové, příspěvková organizace",Kratonohy,,98,,Kratonohy,    102790051,Školní jídelna,Kratonohy,,140,,Kratonohy
2,600088693,70984981,"Základní škola a mateřská škola, Kratonohy, okres Hradec Králové, příspěvková organizace",Kratonohy,,98,,Kratonohy,    117100609,Školní jídelna - výdejna,Kratonohy,,98,,Kratonohy
2,600088758,75015706,"Základní škola a Mateřská škola, Nepolisy",Nepolisy,,142,,Nepolisy,    107581230,Mateřská škola,Nepolisy,,246,,Nepolisy
2,600088758,75015706,"Základní škola a Mateřská škola, Nepolisy",Nepolisy,,142,,Nepolisy,    102066591,Základní škola,Nepolisy,,142,,Nepolisy
2,600088758,75015706,"Základní škola a Mateřská škola, Nepolisy",Nepolisy,,142,,Nepolisy,    117100536,Školní družina,Nepolisy,,142,,Nepolisy
2,600088758,75015706,"Základní škola a Mateřská škola, Nepolisy",Nepolisy,,142,,Nepolisy,    102790132,Školní jídelna,Nepolisy,,246,,Nepolisy
2,600088766,70986509,"Základní škola a mateřská škola, Prasek",Prasek,,157,,Prasek,    107581515,Mateřská škola,Prasek,,213,,Prasek
2,600088766,70986509,"Základní škola a mateřská škola, Prasek",Prasek,,157,,Prasek,    102066604,Základní škola,Prasek,,157,,Prasek
2,600088766,70986509,"Základní škola a mateřská škola, Prasek",Prasek,,157,,Prasek,    117100501,Školní družina,Prasek,,157,,Prasek
2,600088766,70986509,"Základní škola a mateřská škola, Prasek",Prasek,,157,,Prasek,    102790396,Školní jídelna,Prasek,,213,,Prasek
2,600088766,70986509,"Základní škola a mateřská škola, Prasek",Prasek,,157,,Prasek,    117100374,Školní jídelna - výdejna,Prasek,,157,,Prasek
2,600088782,70986096,Základní škola a mateřská škola Stěžery,Stěžery,Lipová,32,,Stěžery,    107581396,Mateřská škola,Stěžery,Spojovací,232,,Stěžery
2,600088782,70986096,Základní škola a mateřská škola Stěžery,Stěžery,Lipová,32,,Stěžery,    102066639,Základní škola,Stěžery,Lipová,32,,Stěžery
2,600088782,70986096,Základní škola a mateřská škola Stěžery,Stěžery,Lipová,32,,Stěžery,    117100447,Školní družina,Stěžery,Lipová,32,,Stěžery
2,600088782,70986096,Základní škola a mateřská škola Stěžery,Stěžery,Lipová,32,,Stěžery,    102790272,Školní jídelna,Stěžery,Spojovací,232,,Stěžery
2,600088782,70986096,Základní škola a mateřská škola Stěžery,Stěžery,Lipová,32,,Stěžery,    102778426,Školní jídelna - výdejna,Stěžery,Lipová,32,,Stěžery
2,600088791,70986789,"Základní škola, Nové Město, okres Hradec Králové",Nové Město,,1,,Nové Město,    102066647,Základní škola,Nové Město,,1,,Nové Město
2,600088791,70986789,"Základní škola, Nové Město, okres Hradec Králové",Nové Město,,1,,Nové Město,    117100307,Školní družina,Nové Město,,1,,Nové Město
2,600088791,70986789,"Základní škola, Nové Město, okres Hradec Králové",Nové Město,,1,,Nové Město,    102778434,Školní jídelna - výdejna,Nové Město,,1,,Nové Město
2,600088804,70886083,"Základní škola a Mateřská škola Pohádka, Hradec Králové, Mandysova 1434",Hradec Králové,Mandysova,1434,1,Nový Hradec Králové,    168101742,Mateřská škola,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
2,600088804,70886083,"Základní škola a Mateřská škola Pohádka, Hradec Králové, Mandysova 1434",Hradec Králové,Mandysova,1434,1,Nový Hradec Králové,    102066671,Základní škola,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
2,600088804,70886083,"Základní škola a Mateřská škola Pohádka, Hradec Králové, Mandysova 1434",Hradec Králové,Mandysova,1434,1,Nový Hradec Králové,    117100170,Školní družina,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
2,600088804,70886083,"Základní škola a Mateřská škola Pohádka, Hradec Králové, Mandysova 1434",Hradec Králové,Mandysova,1434,1,Nový Hradec Králové,    102778469,Školní jídelna,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
2,600088804,70886083,"Základní škola a Mateřská škola Pohádka, Hradec Králové, Mandysova 1434",Hradec Králové,Mandysova,1434,1,Nový Hradec Králové,    168101751,Školní jídelna - výdejna,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
2,600088812,69172366,"Základní škola, Hradec Králové, Habrmanova 130",Hradec Králové,Habrmanova,130,12,Pražské Předměstí,    102066680,Základní škola,Hradec Králové,Habrmanova,130,12,Pražské Předměstí
