Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
5,600011623,25918583,"Střední škola vizuální tvorby, s.r.o.",Hradec Králové,Černilovská,7,24,Rusek,    012996050,Střední škola,Hradec Králové,Černilovská,7,24,Rusek
5,600011631,25261991,Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.,Hradec Králové,Hradecká,1151,9,Hradec Králové,    011021420,Střední škola,Hradec Králové,Hradecká,1151,9,Hradec Králové
5,600011631,25261991,Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.,Hradec Králové,Hradecká,1151,9,Hradec Králové,    181048507,Vyšší odborná škola,Hradec Králové,Hradecká,1151,9,Hradec Králové
5,600011631,25261991,Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.,Hradec Králové,Hradecká,1151,9,Hradec Králové,    150067615,Domov mládeže,Hradec Králové,Hradecká,1151,9,Hradec Králové
5,600011771,25262131,"Hotelová škola Hradec Králové, s.r.o.",Hradec Králové,Československé armády,274,55,Hradec Králové,    062062883,Střední škola,Hradec Králové,Československé armády,274,55,Hradec Králové
5,600011771,25262131,"Hotelová škola Hradec Králové, s.r.o.",Hradec Králové,Československé armády,274,55,Hradec Králové,    108007821,Školní jídelna,Hradec Králové,Československé armády,274,55,Hradec Králové
5,600011798,25262327,"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola cestovního ruchu a Jazyková škola s právem státní jazykové zkoušky, s.r.o.",Hradec Králové,třída SNP,170,32,Slezské Předměstí,    044445288,Střední škola,Hradec Králové,třída SNP,170,32,Slezské Předměstí
5,600011798,25262327,"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola cestovního ruchu a Jazyková škola s právem státní jazykové zkoušky, s.r.o.",Hradec Králové,třída SNP,170,32,Slezské Předměstí,    110100182,Vyšší odborná škola,Hradec Králové,třída SNP,170,32,Slezské Předměstí
5,600011798,25262327,"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola cestovního ruchu a Jazyková škola s právem státní jazykové zkoušky, s.r.o.",Hradec Králové,třída SNP,170,32,Slezské Předměstí,    151000654,Jazyková škola s právem státní jazykové zkoušky,Hradec Králové,třída SNP,170,32,Slezské Předměstí
5,600012093,25270044,"Soukromá střední škola podnikatelská - ALTMAN, s.r.o.",Jičín,Na Tobolce,389,,Holínské Předměstí,    060115645,Střední škola,Jičín,Na Tobolce,389,,Holínské Předměstí
