IZO,RED_MÍSTO,REDIZO,OBOR,OBOR_NAZ,FORMA
    000087297,Jičín,600012069,26-41-M/01,Elektrotechnika,denní
    000087343,Hořice,600012077,21-42-M/01,Geotechnika,denní
    000087343,Hořice,600012077,21-42-M/01,Geotechnika,dálkové
    000087343,Hořice,600012077,82-41-M/01,Užitá malba,denní
    000087343,Hořice,600012077,82-41-M/16,Kamenosochařství,denní
    000087343,Hořice,600012077,82-42-M/01,Konzervátorství a restaurátorství,denní
    102266239,Broumov,600012107,79-41-K/41,Gymnázium,denní
    102266239,Broumov,600012107,79-41-K/81,Gymnázium,denní
    102266247,Náchod,600012115,79-41-K/41,Gymnázium,denní
    102266247,Náchod,600012115,79-41-K/81,Gymnázium,denní
    102266255,Jaroměř,600012123,79-41-K/41,Gymnázium,denní
    102266255,Jaroměř,600012123,79-41-K/81,Gymnázium,denní
    107860601,Jaroměř,600012158,33-56-H/01,Truhlář,denní
    107860601,Jaroměř,600012158,33-59-H/01,Čalouník,denní
    107860601,Jaroměř,600012158,36-64-H/01,Tesař,denní
    107860601,Jaroměř,600012158,41-54-H/01,Podkovář a zemědělský kovář,denní
    107860601,Jaroměř,600012158,41-55-H/01,Opravář zemědělských strojů,denní
    107860601,Jaroměř,600012158,82-51-H/01,"Umělecký kovář a zámečník, pasíř",denní
    107860601,Jaroměř,600012158,82-51-H/04,Umělecký keramik,denní
    060884762,Dobruška,600012549,79-41-K/41,Gymnázium,denní
    060884762,Dobruška,600012549,79-41-K/81,Gymnázium,denní
    060884703,Rychnov nad Kněžnou,600012557,79-41-K/41,Gymnázium,denní
    060884703,Rychnov nad Kněžnou,600012557,79-41-K/81,Gymnázium,denní
    060884690,Kostelec nad Orlicí,600012573,26-41-L/01,Mechanik elektrotechnik,denní
    060884690,Kostelec nad Orlicí,600012573,26-41-L/51,Mechanik elektrotechnik,denní
    060884690,Kostelec nad Orlicí,600012573,26-52-H/01,Elektromechanik pro zařízení a přístroje,denní
    060884690,Kostelec nad Orlicí,600012573,41-41-M/01,Agropodnikání,denní
    060884690,Kostelec nad Orlicí,600012573,41-51-H/01,Zemědělec - farmář,denní
    060884711,Kostelec nad Orlicí,600012581,18-20-M/01,Informační technologie,denní
    060884711,Kostelec nad Orlicí,600012581,63-41-M/02,Obchodní akademie,denní
    060884711,Kostelec nad Orlicí,600012581,78-42-M/02,Ekonomické lyceum,denní
    060884746,Dobruška,600012590,18-20-M/01,Informační technologie,denní
    060884746,Dobruška,600012590,26-41-M/01,Elektrotechnika,denní
    060153393,Dvůr Králové nad Labem,600012867,79-41-K/41,Gymnázium,denní
    060153393,Dvůr Králové nad Labem,600012867,79-41-K/61,Gymnázium,denní
    060153237,Trutnov,600012875,79-41-K/41,Gymnázium,denní
    060153237,Trutnov,600012875,79-41-K/81,Gymnázium,denní
    060153245,Vrchlabí,600012891,53-41-H/01,Ošetřovatel,denní
    060153245,Vrchlabí,600012891,75-41-M/01,Sociální činnost,denní
    060153245,Vrchlabí,600012891,79-41-K/41,Gymnázium,denní
    060153245,Vrchlabí,600012891,79-41-K/81,Gymnázium,denní
    060153296,Trutnov,600012905,16-01-M/01,Ekologie a životní prostředí,denní
    060153296,Trutnov,600012905,41-45-M/01,Mechanizace a služby,denní
    060153296,Trutnov,600012905,41-46-M/01,Lesnictví,denní
    060153296,Trutnov,600012905,41-46-M/01,Lesnictví,dálkové
    060153296,Trutnov,600012905,41-56-H/01,Lesní mechanizátor,denní
    110037791,Dvůr Králové nad Labem,600013006,18-20-M/01,Informační technologie,denní
    110037791,Dvůr Králové nad Labem,600013006,28-44-M/01,Aplikovaná chemie,denní
    110037791,Dvůr Králové nad Labem,600013006,65-42-M/02,Cestovní ruch,denní
    110037791,Dvůr Králové nad Labem,600013006,68-42-M/01,Bezpečnostně právní činnost,denní
    110037791,Dvůr Králové nad Labem,600013006,69-41-L/01,Kosmetické služby,denní
    110037791,Dvůr Králové nad Labem,600013006,69-41-L/02,Masér sportovní a rekondiční,denní
    110037791,Dvůr Králové nad Labem,600013006,69-51-H/01,Kadeřník,denní
    110030591,Hradec Králové,600019772,53-41-M/03,Praktická sestra,denní
    110030591,Hradec Králové,600019772,53-43-M/01,Laboratorní asistent,denní
    110030591,Hradec Králové,600019772,53-44-M/03,Asistent zubního technika,denní
    110030591,Hradec Králové,600019772,78-42-M/04,Zdravotnické lyceum,denní
    110010264,Trutnov,600019829,53-41-M/03,Praktická sestra,denní
    110010264,Trutnov,600019829,53-41-M/03,Praktická sestra,dálkové
    110010264,Trutnov,600019829,63-41-M/02,Obchodní akademie,denní
